original_language,original_title,release_date,,runtime,runtime,tagline,vote_average,price;
en,Heat,15/12/1995,,170,170,A Los Angeles Crime Saga,7.7,7.99;
en,Balto,22/12/1995,,78,78,Part Dog. Part Wolf. All Hero.,7.1,6.99;
"en,Nixon,22/12/1995,,192,192,""Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation."",7.1,6.99";
en,Casino,22/11/1995,,178,178,No one stays at the top forever.,7.8,7.99;
en,Sense and Sensibility,13/12/1995,,136,136,Lose your heart and come to your senses.,7.2,6.99;
en,Leaving Las Vegas,27/10/1995,,112,112,I Love You... The Way You Are.,7.1,6.99;
en,Twelve Monkeys,29/12/1995,,129,129,The future is history.,7.4,6.99;
en,Se7en,22/09/1995,,127,127,Seven deadly sins. Seven ways to die.,8.1,7.99;
en,The Usual Suspects,19/07/1995,,106,106,Five Criminals. One Line Up. No Coincidence.,8.1,7.99;
en,A Midwinter's Tale,01/12/1995,,99,99,The drama. The passion. The intrigue... And the rehearsals haven't even started.,7.5,7.99;
en,The Bridges of Madison County,28/05/1995,,135,135,The path of Francesca Johnson's future seems destined due to an unexpected fork in the road...,7.3,6.99;
en,Braveheart,24/05/1995,,177,177,Every man dies. Not every man truly lives.,7.7,7.99;
"en,Taxi Driver,07/02/1976,,114,114,""On every street in every city, there's a nobody who dreams of being a somebody."",8.1,7.99";
en,Margaret's Museum,13/09/1995,,114,114,She found a way to preserve her memories forever.,7.5,7.99;
"en,Anne Frank Remembered,08/06/1995,,117,117,""She is perhaps Hitler's best known victim, but what was Anne Frank really like?"",7.3,6.99";
en,The Basketball Diaries,21/04/1995,,102,102,The true story of the death of innocence and the birth of an artist.,7.2,6.99;
"en,Apollo 13,30/06/1995,,140,140,""Houston, we have a problem."",7.3,6.99";
en,Crumb,10/09/1994,,119,119,Weird sex · Obsession · Comic books,7.6,7.99;
en,Living in Oblivion,20/01/1995,,89,89,Nick is about to discover the first rule of filmmaking: if at first you don't succeed... PANIC!,7.2,6.99;
en,Reckless,17/11/1995,,91,91,The most twisted Christmas ever.,10,9.99;
en,Safe,23/06/1995,,119,119,In the 21st century nobody will be... Safe.,7.2,6.99;
en,Smoke,09/06/1995,,112,112,Where there's smoke... there's laughter!,7.2,6.99;
en,Before the Rain,09/06/1994,,113,113,Once You Know The Faces You Will Begin To Understand The Story,7.7,7.99;
en,Before Sunrise,27/01/1995,,105,105,Can the greatest romance of your life last only one night?,7.7,7.99;
en,The Cure,21/04/1995,,97,97,The best cure for a disease is friendship,7.2,6.99;
en,Clerks,13/09/1994,,92,92,Just because they serve you doesn't mean they like you.,7.4,6.99;
en,Death and the Maiden,04/05/1994,,103,103,Prepare yourself for the moment of truth.,7.1,6.99;
"en,Dolores Claiborne,24/03/1995,,132,132,""Sometimes, an accident can be an unhappy woman's best friend."",7.1,6.99";
"en,Ed Wood,27/09/1994,,127,127,""When it came to making bad movies, Ed Wood was the best."",7.3,6.99";
en,Hoop Dreams,12/09/1994,,171,171,An Extraordinary True Story.,7.7,7.99;
en,Interview with the Vampire,11/11/1994,,123,123,Drink from me and live forever,7.2,6.99;
"en,Star Wars,25/05/1977,,121,121,""A long time ago in a galaxy far, far away..."",8.1,7.99";
en,A Little Princess,10/05/1995,,97,97,Every girl everywhere is a princess.,7.4,6.99;
en,Legends of the Fall,16/12/1994,,133,133,After the Fall from Innocence the Legend begins.,7.2,6.99;
en,Nina Takes a Lover,03/03/1995,,100,100,Sometimes you have to break your vow to keep your promise.,7.4,6.99;
"en,Once Were Warriors,02/09/1994,,99,99,""A family in crisis, a life in chaos... Nothing is more powerful than a mother's love."",7.6,7.99";
en,Pulp Fiction,10/09/1994,,154,154,Just because you are a character doesn't mean you have character.,8.3,7.99;
en,Quiz Show,16/09/1994,,133,133,Fifty million people watched but no one saw a thing.,7.1,6.99;
en,The Shawshank Redemption,23/09/1994,,142,142,Fear can hold you prisoner. Hope can set you free.,8.5,7.99;
en,What's Eating Gilbert Grape,17/12/1993,,118,118,A film about the love you find...In the last place you look.,7.5,7.99;
"en,""The Adventures of Priscilla, Queen of the Desert"",31/05/1994,,104,104,She's back... Looking as gorgeous and outrageous as ever in a brand new frock.,7.2,6.99";
en,The Crow,11/05/1994,,102,102,Real love is forever.,7.3,6.99;
"en,Forrest Gump,06/07/1994,,142,142,""The world will never be the same, once you've seen it through the eyes of Forrest Gump."",8.2,7.99";
en,The Lion King,23/06/1994,,89,89,Life's greatest adventure is finding your place in the Circle of Life.,8,7.99;
en,The Secret Adventures of Tom Thumb,10/12/1993,,61,61,A nursery crime of epic proportions...,7.1,6.99;
en,Girl in the Cadillac,24/10/1995,,89,89,On our first date... we robbed a bank,10,9.99;
en,In the Mouth of Madness,12/12/1994,,95,95,Lived Any Good Books Lately?,7.1,6.99;
en,8 Seconds,25/02/1994,,105,105,Hang on for the ride of your life!,7.2,6.99;
"en,A Bronx Tale,14/09/1993,,121,121,""One man lives in the neighborhood, another man owns it."",7.4,6.99";
en,Carlito's Way,10/11/1993,,144,144,He's got a good future if he can live past next week.,7.7,7.99;
en,Dazed and Confused,24/09/1993,,102,102,See it with a bud.,7.4,6.99;
en,The Fugitive,06/08/1993,,130,130,A murdered wife. A one-armed man. An obsessed detective. The chase begins.,7.2,6.99;
en,The Hudsucker Proxy,11/03/1994,,111,111,They took him for a fall guy... but he threw them for a hoop.,7.1,6.99;
en,In the Name of the Father,12/12/1993,,133,133,Falsely accused. Wrongly imprisoned. He fought for justice to clear his father's name.,7.6,7.99;
