original_title,release_date,runtime,tagline,vote_average,price
Heat,15/12/1995,170,A Los Angeles Crime Saga,7.7,7.99
Balto,22/12/1995,78,Part Dog. Part Wolf. All Hero.,7.1,6.99
Nixon,22/12/1995,192,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.",7.1,6.99
Casino,22/11/1995,178,No one stays at the top forever.,7.8,7.99
Sense and Sensibility,13/12/1995,136,Lose your heart and come to your senses.,7.2,6.99
Leaving Las Vegas,27/10/1995,112,I Love You... The Way You Are.,7.1,6.99
Twelve Monkeys,29/12/1995,129,The future is history.,7.4,6.99
Se7en,22/09/1995,127,Seven deadly sins. Seven ways to die.,8.1,7.99
The Usual Suspects,19/07/1995,106,Five Criminals. One Line Up. No Coincidence.,8.1,7.99
A Midwinter's Tale,01/12/1995,99,The drama. The passion. The intrigue... And the rehearsals haven't even started.,7.5,7.99
The Bridges of Madison County,28/05/1995,135,The path of Francesca Johnson's future seems destined due to an unexpected fork in the road...,7.3,6.99
Braveheart,24/05/1995,177,Every man dies. Not every man truly lives.,7.7,7.99
Taxi Driver,07/02/1976,114,"On every street in every city, there's a nobody who dreams of being a somebody.",8.1,7.99
Margaret's Museum,13/09/1995,114,She found a way to preserve her memories forever.,7.5,7.99
Anne Frank Remembered,08/06/1995,117,"She is perhaps Hitler's best known victim, but what was Anne Frank really like?",7.3,6.99
The Basketball Diaries,21/04/1995,102,The true story of the death of innocence and the birth of an artist.,7.2,6.99
Apollo 13,30/06/1995,140,"Houston, we have a problem.",7.3,6.99
Crumb,10/09/1994,119,Weird sex · Obsession · Comic books,7.6,7.99
Living in Oblivion,20/01/1995,89,Nick is about to discover the first rule of filmmaking: if at first you don't succeed... PANIC!,7.2,6.99
Reckless,17/11/1995,91,The most twisted Christmas ever.,10,9.99
Safe,23/06/1995,119,In the 21st century nobody will be... Safe.,7.2,6.99
Smoke,09/06/1995,112,Where there's smoke... there's laughter!,7.2,6.99
Before the Rain,09/06/1994,113,Once You Know The Faces You Will Begin To Understand The Story,7.7,7.99
Before Sunrise,27/01/1995,105,Can the greatest romance of your life last only one night?,7.7,7.99
The Cure,21/04/1995,97,The best cure for a disease is friendship,7.2,6.99
Clerks,13/09/1994,92,Just because they serve you doesn't mean they like you.,7.4,6.99
Death and the Maiden,04/05/1994,103,Prepare yourself for the moment of truth.,7.1,6.99
Dolores Claiborne,24/03/1995,132,"Sometimes, an accident can be an unhappy woman's best friend.",7.1,6.99
Ed Wood,27/09/1994,127,"When it came to making bad movies, Ed Wood was the best.",7.3,6.99
Hoop Dreams,12/09/1994,171,An Extraordinary True Story.,7.7,7.99
Interview with the Vampire,11/11/1994,123,Drink from me and live forever,7.2,6.99
Star Wars,25/05/1977,121,"A long time ago in a galaxy far, far away...",8.1,7.99
A Little Princess,10/05/1995,97,Every girl everywhere is a princess.,7.4,6.99
Legends of the Fall,16/12/1994,133,After the Fall from Innocence the Legend begins.,7.2,6.99
Nina Takes a Lover,03/03/1995,100,Sometimes you have to break your vow to keep your promise.,7.4,6.99
Once Were Warriors,02/09/1994,99,"A family in crisis, a life in chaos... Nothing is more powerful than a mother's love.",7.6,7.99
Pulp Fiction,10/09/1994,154,Just because you are a character doesn't mean you have character.,8.3,7.99
Quiz Show,16/09/1994,133,Fifty million people watched but no one saw a thing.,7.1,6.99
The Shawshank Redemption,23/09/1994,142,Fear can hold you prisoner. Hope can set you free.,8.5,7.99
What's Eating Gilbert Grape,17/12/1993,118,A film about the love you find...In the last place you look.,7.5,7.99
"The Adventures of Priscilla, Queen of the Desert",31/05/1994,104,She's back... Looking as gorgeous and outrageous as ever in a brand new frock.,7.2,6.99
The Crow,11/05/1994,102,Real love is forever.,7.3,6.99
Forrest Gump,06/07/1994,142,"The world will never be the same, once you've seen it through the eyes of Forrest Gump.",8.2,7.99
The Lion King,23/06/1994,89,Life's greatest adventure is finding your place in the Circle of Life.,8,7.99
The Secret Adventures of Tom Thumb,10/12/1993,61,A nursery crime of epic proportions...,7.1,6.99
Girl in the Cadillac,24/10/1995,89,On our first date... we robbed a bank,10,9.99
In the Mouth of Madness,12/12/1994,95,Lived Any Good Books Lately?,7.1,6.99
8 Seconds,25/02/1994,105,Hang on for the ride of your life!,7.2,6.99
A Bronx Tale,14/09/1993,121,"One man lives in the neighborhood, another man owns it.",7.4,6.99
Carlito's Way,10/11/1993,144,He's got a good future if he can live past next week.,7.7,7.99
Dazed and Confused,24/09/1993,102,See it with a bud.,7.4,6.99
The Fugitive,06/08/1993,130,A murdered wife. A one-armed man. An obsessed detective. The chase begins.,7.2,6.99
The Hudsucker Proxy,11/03/1994,111,They took him for a fall guy... but he threw them for a hoop.,7.1,6.99
In the Name of the Father,12/12/1993,133,Falsely accused. Wrongly imprisoned. He fought for justice to clear his father's name.,7.6,7.99
Jurassic Park,11/06/1993,127,An adventure 65 million years in the making.,7.6,7.99
Manhattan Murder Mystery,18/08/1993,104,Keaton & Allen reunited for fun flick!,7.1,6.99
Menace II Society,26/05/1993,97,This is the truth. This is what's real.,7.2,6.99
Much Ado About Nothing,07/05/1993,111,Romance. Mischief. Seduction. Revenge. Remarkable.,7.2,6.99
Philadelphia,22/12/1993,125,No one would take on his case... until one man was willing to take on the system.,7.6,7.99
The Remains of the Day,05/11/1993,134,Diamond in the Rough,7.5,7.99
Rudy,17/09/1993,114,"It's not the size of the dog in the fight, It's the size of the fight in the dog.",7.2,6.99
Schindler's List,29/11/1993,195,"Whoever saves one life, saves the world entire.",8.3,7.99
Searching for Bobby Fischer,13/08/1993,110,Every journey begins with a single move.,7.3,6.99
The Secret Garden,13/08/1993,102,"The timeless tale of a special place where magic, hope and love grow.",7.1,6.99
Blade Runner,25/06/1982,117,Man has made his match... now it's his problem.,7.9,7.99
Thirty Two Short Films About Glenn Gould,26/11/1993,93,The sound of genius.,7.4,6.99
The Nightmare Before Christmas,09/10/1993,76,A ghoulish tale with wicked humor & stunning animation.,7.6,7.99
Tombstone,25/12/1993,130,Justice is coming.,7.4,6.99
True Romance,09/09/1993,120,"Stealing, Cheating, Killing. Who said romance was dead?",7.5,7.99
The War Room,05/12/1993,96,They Changed The Way Campaigns Are Won,7.3,6.99
Io speriamo che me la cavo,01/10/1992,100,"Ciao, Professore!",7.2,6.99
Home Alone,09/11/1990,103,A Family Comedy Without the Family.,7.1,6.99
Aladdin,25/11/1992,90,Wish granted!,7.4,6.99
Terminator 2: Judgment Day,01/07/1991,137,It's nothing personal.,7.7,7.99
Dances with Wolves,09/11/1990,181,Inside everyone is a frontier waiting to be discovered.,7.6,7.99
The Silence of the Lambs,01/02/1991,119,To enter the mind of a killer she must challenge the mind of a madman.,8.1,7.99
Beauty and the Beast,13/11/1991,84,The most beautiful love story ever told.,7.5,7.99
The Wild Bunch,17/06/1969,145,"If you only want to spend two hours in a movie theatre and go home and forget it, stay away from THE WILD BUNCH.",7.7,7.99
